100, 52422
150, 15972
200, 19295
250, 25651
300, 32581
350, 53247
400, 76681
450, 23269
500, 25039
550, 29477
600, 33755
650, 36654
700, 60582
750, 70441
800, 72077
850, 81887
900, 82845
950, 92904
1000, 81711
1050, 81242
1100, 75345
1150, 80079
1200, 83311
1250, 88820
1300, 94668
1350, 109701
1400, 123251
1450, 108274
1500, 111794
1550, 117058
1600, 130483
1650, 130051
1700, 133135
1750, 141856
1800, 153942
1850, 136443
1900, 136104
1950, 137550
2000, 182872
2050, 165138
2100, 152786
2150, 175982
2200, 164173
2250, 188257
2300, 178539
2350, 180223
2400, 180839
2450, 202688
2500, 370962
2550, 385390
2600, 325335
2650, 244745
2700, 204228
2750, 236259
2800, 347231
2850, 290842
2900, 231311
2950, 269378
3000, 436697
3050, 315769
3100, 246138
3150, 269041
3200, 268647
3250, 272986
3300, 375180
3350, 345052
3400, 276992
3450, 274053
3500, 275746
3550, 433241
3600, 415018
3650, 298935
3700, 296932
3750, 362529
3800, 326226
3850, 322137
3900, 318833
3950, 342217
4000, 336686
4050, 339678
4100, 351658
4150, 374454
4200, 422346
4250, 489143
4300, 461253
4350, 420566
4400, 360091
4450, 389439
4500, 364955
4550, 540723
4600, 474529
4650, 435462
4700, 391868
4750, 406351
4800, 414475
4850, 408330
4900, 415768
4950, 434513
5000, 422882
5050, 697666
5100, 655590
5150, 477880
5200, 474982
5250, 445752
5300, 448471
5350, 453450
5400, 464193
5450, 469210
5500, 480662
5550, 581844
5600, 647097
5650, 484698
5700, 702703
5750, 491950
5800, 529130
5850, 605760
5900, 772616
5950, 511223
6000, 517881
6050, 719405
6100, 581783
6150, 531693
6200, 778232
6250, 550836
6300, 551819
6350, 715861
6400, 569911
6450, 586441
6500, 830495
6550, 580895
6600, 622608
6650, 665449
6700, 574716
6750, 588309
6800, 606106
6850, 601071
6900, 623020
6950, 622833
7000, 687463
7050, 640176
7100, 683315
7150, 833135
7200, 749682
7250, 746912
7300, 759486
7350, 916932
7400, 648943
7450, 665625
7500, 697478
7550, 807449
7600, 801388
7650, 675993
7700, 674820
7750, 695313
7800, 676308
7850, 704060
7900, 723327
7950, 701721
8000, 712190
8050, 750419
8100, 778045
8150, 730234
8200, 754416
8250, 762063
8300, 845915
8350, 1060361
8400, 747505
8450, 751392
8500, 761486
8550, 833765
8600, 765334
8650, 780045
8700, 775001
8750, 939409
8800, 883706
8850, 880114
8900, 770499
8950, 938321
9000, 829079
9050, 808736
9100, 811784
9150, 833418
9200, 1118218
9250, 813475
9300, 843340
9350, 838834
9400, 819789
9450, 861080
9500, 1120933
9550, 1110290
9600, 1127635
9650, 870347
9700, 931826
9750, 1162897
9800, 872845
9850, 1135067
9900, 1147651
9950, 900278
